record_id	variant	description	length_bp	has_subrepeat	host_period_bp	subrepeat_period_bp	n_subrepeat_blocks	blocks	has_ssr	ssr_motif	hor_truth
rdna_like	rdna_like	Canonical rDNA-style: 4 × 10 kb host units, each with a 3 kb sub-repeat block (200 bp × 15) in the middle.	40000	yes	10000	200	4	5000-8000;15000-18000;25000-28000;35000-38000	no	NA	host_period=10000 sub_monomer=200
small_scale	small_scale	8 × 2 kb host units, sub-repeat 500 bp (50 bp × 10).	16000	yes	2000	50	8	1000-1500;3000-3500;5000-5500;7000-7500;9000-9500;11000-11500;13000-13500;15000-15500	no	NA	host_period=2000 sub_monomer=50
large_scale	large_scale	4 × 30 kb host units, sub-repeat 5 kb (500 bp × 10).	120000	yes	30000	500	4	20000-25000;50000-55000;80000-85000;110000-115000	no	NA	host_period=30000 sub_monomer=500
partial_coverage	partial_coverage	Same 10 kb host scale as rdna_like, but only 2 of 4 host units (#1 and #3) carry the sub-repeat; the other 2 are host-only with a random filler of equal length.	40000	yes	10000	200	2	5000-8000;25000-28000	no	NA	host_period=10000 sub_monomer=200
asymmetric_position	asymmetric_position	Same 10 kb host scale, but the sub-repeat sits near the start of each host unit (host_A short, host_B long).	40000	yes	10000	200	4	500-3500;10500-13500;20500-23500;30500-33500	no	NA	host_period=10000 sub_monomer=200
short_subrepeat_block	short_subrepeat_block	10 kb host, but the embedded sub-repeat is short (only 1 kb = 200 bp × 5). Tests whether tiny blocks still light up.	40000	yes	10000	200	4	5000-6000;15000-16000;25000-26000;35000-36000	no	NA	host_period=10000 sub_monomer=200
pure_simple_tr	pure_simple_tr	Negative control: pure 200 bp tandem repeat, 200 copies (40 kb). No host structure, no sub-repeat blocks. The scanner should report NO sub-repeat flag.	40000	no	NA	NA	0	NA	no	NA	simple_tr monomer=200
pure_hor_k5	pure_hor_k5	Negative control: clean HOR k=5 (founder 200 bp, tile 1000 bp), 40 copies of the tile (40 kb). Uniform hierarchical structure. The scanner should report NO sub-repeat flag.	40000	no	NA	NA	0	NA	no	NA	k=5 founder=200
pure_ssr_ca	pure_ssr_ca	Pure (CA) dinucleotide tandem repeat, 2000 copies (4 kb). SSR scanner should flag yes with dominant motif AC (CA normalises to AC), ~100%% coverage. rule_proto + subrepeat should report unresolved/none (period 2 sits below their min_period floor).	4000	no	NA	NA	0	NA	yes	CA	pure_ssr motif=CA
tr_with_internal_ssr	tr_with_internal_ssr	Tandem repeat of a 200-bp monomer that contains a (GA)50 = 100 bp SSR patch in its middle. 100 monomer copies = 20 kb. rule_proto should call simple_TR (founder 200), subrepeat should NOT fire (no spatial alternation — the SSR is everywhere by design), SSR should flag yes (dominant motif AG, ~50%% coverage).	20000	no	NA	NA	0	NA	yes	GA	simple_tr monomer=200
